Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
wild-orchid-kantha-scarf-india-1,Wild Orchid Kantha Scarf - India,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: House of Wandering Silk</strong><br><br>Made from vintage silk saris, this patterned scarf in lively hues of purple is quilted with a simple running stitch – a technique called “kantha.” Each kantha scarf is one-of-a-kind boasting unique patterns and a mix of both bright and earthy complementary colours. <br><br>Kantha is still the most popular form of embroidery practiced by rural women in the West Bengal State of India. The stitching work can be done in the privacy of the home allowing even women from conservative families to participate.<br><br><em>• 100% silk – dry clean only.</em><br><em>• Dimensions: 200cm x 45cm.</em></p>
<div><em> </em></div>",House of Wandering Silk,Scarves,"accessories, House of Wandering Silk, India, scarves, silk",TRUE,Title,Default Title,,,,,a3314506in,400,shopify,14,deny,manual,89,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/wildorchid_copy.jpeg?v=1419278876,,FALSE,,,,,,,,,,,,,,,,,kg
wild-orchid-kantha-scarf-india-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/13039FAW_PRO_BAN_ScarfGroup1_446square_7f8d20e1-ec0e-4b83-a579-9a7c02a9e7aa.jpeg?v=1419278876,,,,,,,,,,,,,,,,,,,
wild-orchid-kantha-scarf-india,Wild Orchid Kantha Scarf - India,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: House of Wandering Silk</strong><br><br>Made from vintage silk saris, this patterned scarf in purple hues is quilted with a simple running stitch – a technique called “kantha.” Each kantha scarf is one-of-a-kind boasting unique patterns and a mix of both bright and earthy complementary colours. <br><br>Kantha is still the most popular form of embroidery practiced by rural women in the West Bengal State of India. The stitching work can be done in the privacy of the home allowing even women from conservative families to participate.<br><br><em>• 100% silk - dry clean only.</em><br><em>• Dimensions: 200cm x 45cm.</em></p>
<p> </p>",House of Wandering Silk,Scarves,"accessories, House of Wandering Silk, India, scarves, silk",TRUE,Title,Default Title,,,,,a3314508in,400,shopify,0,deny,manual,89,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/HOWS_M-028.jpeg?v=1419278880,,FALSE,,,,,,,,,,,,,,,,,kg
wild-orchid-kantha-scarf-india,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/13039FAW_PRO_BAN_ScarfGroup1_446_large_b7c8fa35-21b2-430d-8092-e74dbf252e0d.jpeg?v=1419278880,,,,,,,,,,,,,,,,,,,
violet-jamdani-cotton-scarf-india,Violet Jamdani Cotton Scarf - India,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: House of Wandering Silk<br></strong></p>
<p>This beautiful, light violet scarf with orange and yellow embroidery and finished with a lovely tassel is lightweight and exquisitely soft and can double as a sarong - perfect for summer! <br><br>Said to be woven with the 'threads of winds', the history of the Jamdani can be traced back over 2,000 years. Made from the finest khadi cotton, the scarves are both handspun and handwoven in West Bengal using one of the most time and labor-intensive forms of hand loom weaving. </p>
<p><em>• Dimensions: 39"" x 78"" (99cm x 198cm).<br></em><em>• Wash gently in cold water. Do not soak.</em></p>",House of Wandering Silk,Scarves,"accessories, House of Wandering Silk, India, scarves",TRUE,Title,Default Title,,,,,a3325502in,400,shopify,5,deny,manual,145,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/14008FAW-PRO_HScarf_C2.jpeg?v=1419278957,,FALSE,,,,,,,,,,,,,,,,,kg
violet-jamdani-cotton-scarf-india,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/14008FAW-PRO_HScarf_C_web.jpeg?v=1419278957,,,,,,,,,,,,,,,,,,,
turquoise-silk-scarf-afghanistan,Turquoise Silk Scarf - Afghanistan,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: Saleh Silks</strong></p>
<p>This handwoven, pure silk scarf in turquoise colour is exquisitely soft to touch and very lightweight. It is perfect for travelling and can dress up an outfit for any occasion.</p>
<p><span style=""line-height: 1.5;"">Saleh tries to buy silk from Afghanistan but silk production was severely affected during the civil war and under Taliban rule when the mulberry orchards, home to the silk worms, were cut down or destroyed. Today silk weavers like Saleh are forced to buy in some silk from Pakistan and China at inflated prices. Although there are still as many as 36 silk workshops in Herat, home to the traditional Afghan silk industry, there are only three workshops left in Kabul today. </span> <br><br><em>• 100% silk - dry clean only.</em> <br><em>• Dimensions: 190cm x 65cm.</em></p>
<p> </p>",Saleh Fine Silks,Scarves,"accessories, Afghanistan, Saleh Fine Silks, scarves, silk",TRUE,Title,Default Title,,,,,a3320610af,400,shopify,22,deny,manual,49,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/14001FAW_PRO_scarfA_015web.jpeg?v=1419279012,,FALSE,,,,,,,,,,,,,,,,,kg
turquoise-jamdani-cotton-scarf-india,Turquoise Jamdani Cotton Scarf - India,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: House of Wandering Silk<br></strong></p>
<p><span>This beautiful, bright turquoise scarf with orange and pink embroidery and finished with a lovely tassel is lightweight and exquisitely soft and can double as a sarong - perfect for summer! <br><br>Said to be woven with the 'threads of winds', the history of the Jamdani can be traced back over 2,000 years. Made from the finest khadi cotton, the scarves are both handspun and handwoven in West Bengal using one of the most time and labor-intensive forms of hand loom weaving. </span></p>
<p><em>• Dimensions: 39"" x 78"" (99cm x 198cm).<br></em><em><em>• Wash gently in cold water. Do not soak.</em></em></p>",House of Wandering Silk,Scarves,"accessories, House of Wandering Silk, India, scarves",TRUE,Title,Default Title,,,,,a3325610in,400,shopify,6,deny,manual,145,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/14008FAW-PRO_HScarf_B2.jpeg?v=1419279032,,FALSE,,,,,,,,,,,,,,,,,kg
turquoise-jamdani-cotton-scarf-india,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/4417/products/14008FAW-PRO_HScarf_B_web.jpeg?v=1419279032,,,,,,,,,,,,,,,,,,,
indian-scarf-turquoise-and-purple-kantha,Turquoise and Purple Kantha Scarf - India,"<p><em>This is a demonstration store. You can purchase this product from <a href=""http://www.farandwidecollective.com/"" target=""_blank"">Far &amp; Wide Collective</a></em></p><p><strong>Artisan: House of Wandering Silk</strong><br><br>Made from vintage silk saris, this patterned scarf in shades of blue and purple is quilted with a simple running stitch – a technique called “kantha.” Each kantha scarf is one-of-a-kind boasting unique patterns and a mix of both bright and earthy complementary colours. <br><br>Kantha is still the most popular form of embroidery practiced by rural women in the West Bengal State of India. The stitching work can be done in the privacy of the home allowing even women from conservative families to participate.<br><br><em>• 100% silk – dry clean only.</em><br><em>• Dimensions: 200cm x 45cm.</em></p>
<div><em> </em></div>",House of Wandering Silk,Scarves,"accessories, ethical, House of Wandering Silk, India, kantha, recycled, scarves, silk, sustainable",TRUE,Title,Default Title,,,,,a3314504in,400,shopify,0,deny,manual,89,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0720/4417/products/turquoise_purple_indian_kantha_scarf.jpeg?v=1419279060,turquoise purple Indian kantha scarf,FALSE,,"Discover our unique Indian kantha scarves from our partner House of Wandering Silk. Made from vintage silk saris, each scarf is hand-stitched and one-of-a-kind.",,,,,,,,,,,,,,,kg
